id,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
37,year_cont,x,x,year_cont,year_cont,x45,y45,year_cont,year_cont,year_cont,year_cont,year_cont,year_cont,year_cont,year_cont,y,x,x45,y,x45,year_cont,year_cont,year_cont,x,year_cont,year_cont,year_cont,year_cont,x45,y,year_cont,year_cont,year_cont,year_cont,year_cont,year_cont,year_cont,x45,year_cont,year_cont,year_cont,year_cont,year_cont,year_cont,y,year_cont,year_cont,y,y
38,x,y,y,x,x,y45,n_bld_fp_per_ha,x,x,x,x,x,x,x,x,x45,y,y45,x45,y45,x,x,x,y,x,x,x,x,y45,x45,x,x,x,x,x,x,x,y45,x,x,x,x,x,x,x45,x,x,x45,x45
39,y,x45,x45,y,y,n_bld_fp_per_ha,p_bld_fp,y,y,y,y,y,y,y,y,y45,x45,n_bld_fp_per_ha,y45,n_bld_fp_per_ha,y,y,y,x45,y,y,y,y,n_bld_fp_per_ha,y45,y,y,y,y,y,y,y,n_bld_fp_per_ha,y,y,y,y,y,y,y45,y,y,y45,y45
40,x45,y45,y45,x45,x45,p_bld_fp,p_bld_fp_500,x45,x45,x45,x45,x45,x45,x45,x45,n_bld_fp_per_ha,y45,p_bld_fp,n_bld_fp_per_ha,p_bld_fp,x45,x45,x45,y45,x45,x45,x45,x45,p_bld_fp,n_bld_fp_per_ha,x45,x45,x45,x45,x45,x45,x45,p_bld_fp,x45,x45,x45,x45,x45,x45,n_bld_fp_per_ha,x45,x45,n_bld_fp_per_ha,n_bld_fp_per_ha
41,y45,n_bld_fp_per_ha,n_bld_fp_per_ha,y45,y45,p_bld_fp_500,p_bld_fp_5000,y45,y45,y45,y45,y45,y45,y45,y45,p_bld_fp,n_bld_fp_per_ha,p_bld_fp_500,p_bld_fp,p_bld_fp_500,y45,y45,y45,n_bld_fp_per_ha,y45,y45,y45,y45,p_bld_fp_500,p_bld_fp,y45,y45,y45,y45,y45,y45,y45,p_bld_fp_500,y45,y45,y45,y45,y45,y45,p_bld_fp,y45,y45,p_bld_fp,p_bld_fp
42,n_bld_fp_per_ha,p_bld_fp,p_bld_fp,n_bld_fp_per_ha,n_bld_fp_per_ha,p_bld_fp_5000,p_prot_2010_5000,n_bld_fp_per_ha,n_bld_fp_per_ha,n_bld_fp_per_ha,n_bld_fp_per_ha,n_bld_fp_per_ha,n_bld_fp_per_ha,n_bld_fp_per_ha,n_bld_fp_per_ha,p_bld_fp_500,p_bld_fp,p_bld_fp_5000,p_bld_fp_500,p_bld_fp_5000,n_bld_fp_per_ha,n_bld_fp_per_ha,n_bld_fp_per_ha,p_bld_fp,n_bld_fp_per_ha,n_bld_fp_per_ha,n_bld_fp_per_ha,n_bld_fp_per_ha,p_bld_fp_5000,p_bld_fp_500,n_bld_fp_per_ha,n_bld_fp_per_ha,n_bld_fp_per_ha,n_bld_fp_per_ha,n_bld_fp_per_ha,n_bld_fp_per_ha,n_bld_fp_per_ha,p_bld_fp_5000,n_bld_fp_per_ha,n_bld_fp_per_ha,n_bld_fp_per_ha,n_bld_fp_per_ha,n_bld_fp_per_ha,n_bld_fp_per_ha,p_bld_fp_500,n_bld_fp_per_ha,n_bld_fp_per_ha,p_bld_fp_500,p_bld_fp_500
43,p_bld_fp,p_bld_fp_500,p_bld_fp_500,p_bld_fp,p_bld_fp,p_prot_2010_5000,p_barren,p_bld_fp,p_bld_fp,p_bld_fp,p_bld_fp,p_bld_fp,p_bld_fp,p_bld_fp,p_bld_fp,p_bld_fp_5000,p_bld_fp_500,p_prot_2010_5000,p_bld_fp_5000,p_prot_2010_5000,p_bld_fp,p_bld_fp,p_bld_fp,p_bld_fp_500,p_bld_fp,p_bld_fp,p_bld_fp,p_bld_fp,p_prot_2010_5000,p_bld_fp_5000,p_bld_fp,p_bld_fp,p_bld_fp,p_bld_fp,p_bld_fp,p_bld_fp,p_bld_fp,p_prot_2010_5000,p_bld_fp,p_bld_fp,p_bld_fp,p_bld_fp,p_bld_fp,p_bld_fp,p_bld_fp_5000,p_bld_fp,p_bld_fp,p_bld_fp_5000,p_bld_fp_5000
44,p_bld_fp_500,p_bld_fp_5000,p_bld_fp_5000,p_bld_fp_500,p_bld_fp_500,p_barren,p_shrub,p_bld_fp_500,p_bld_fp_500,p_bld_fp_500,p_bld_fp_500,p_bld_fp_500,p_bld_fp_500,p_bld_fp_500,p_bld_fp_500,p_prot_2010_5000,p_bld_fp_5000,p_barren,p_prot_2010_5000,p_barren,p_bld_fp_500,p_bld_fp_500,p_bld_fp_500,p_bld_fp_5000,p_bld_fp_500,p_bld_fp_500,p_bld_fp_500,p_bld_fp_500,p_barren,p_prot_2010_5000,p_bld_fp_500,p_bld_fp_500,p_bld_fp_500,p_bld_fp_500,p_bld_fp_500,p_bld_fp_500,p_bld_fp_500,p_barren,p_bld_fp_500,p_bld_fp_500,p_bld_fp_500,p_bld_fp_500,p_bld_fp_500,p_bld_fp_500,p_prot_2010_5000,p_bld_fp_500,p_bld_fp_500,p_prot_2010_5000,p_prot_2010_5000
45,p_bld_fp_5000,p_prot_2010_5000,p_prot_2010_5000,p_bld_fp_5000,p_bld_fp_5000,p_shrub,p_grassland,p_bld_fp_5000,p_bld_fp_5000,p_bld_fp_5000,p_bld_fp_5000,p_bld_fp_5000,p_bld_fp_5000,p_bld_fp_5000,p_bld_fp_5000,p_barren,p_prot_2010_5000,p_shrub,p_barren,p_shrub,p_bld_fp_5000,p_bld_fp_5000,p_bld_fp_5000,p_prot_2010_5000,p_bld_fp_5000,p_bld_fp_5000,p_bld_fp_5000,p_bld_fp_5000,p_shrub,p_barren,p_bld_fp_5000,p_bld_fp_5000,p_bld_fp_5000,p_bld_fp_5000,p_bld_fp_5000,p_bld_fp_5000,p_bld_fp_5000,p_shrub,p_bld_fp_5000,p_bld_fp_5000,p_bld_fp_5000,p_bld_fp_5000,p_bld_fp_5000,p_bld_fp_5000,p_barren,p_bld_fp_5000,p_bld_fp_5000,p_barren,p_barren
46,p_prot_2010_5000,p_barren,p_barren,p_prot_2010_5000,p_prot_2010_5000,p_grassland,p_pasture,p_prot_2010_5000,p_prot_2010_5000,p_prot_2010_5000,p_prot_2010_5000,p_prot_2010_5000,p_prot_2010_5000,p_prot_2010_5000,p_prot_2010_5000,p_shrub,p_barren,p_grassland,p_shrub,p_grassland,p_prot_2010_5000,p_prot_2010_5000,p_prot_2010_5000,p_barren,p_prot_2010_5000,p_prot_2010_5000,p_prot_2010_5000,p_prot_2010_5000,p_grassland,p_shrub,p_prot_2010_5000,p_prot_2010_5000,p_prot_2010_5000,p_prot_2010_5000,p_prot_2010_5000,p_prot_2010_5000,p_prot_2010_5000,p_grassland,p_prot_2010_5000,p_prot_2010_5000,p_prot_2010_5000,p_prot_2010_5000,p_prot_2010_5000,p_prot_2010_5000,p_shrub,p_prot_2010_5000,p_prot_2010_5000,p_shrub,p_shrub
47,p_barren,p_shrub,p_shrub,p_barren,p_barren,p_pasture,p_crops,p_barren,p_barren,p_barren,p_barren,p_barren,p_barren,p_barren,p_barren,p_grassland,p_shrub,p_pasture,p_grassland,p_pasture,p_barren,p_barren,p_barren,p_shrub,p_barren,p_barren,p_barren,p_barren,p_pasture,p_grassland,p_barren,p_barren,p_barren,p_barren,p_barren,p_barren,p_barren,p_pasture,p_barren,p_barren,p_barren,p_barren,p_barren,p_barren,p_grassland,p_barren,p_barren,p_grassland,p_grassland
